packages,version,buiid,PYPI,,linux-ppc64le,Build tag,Channels,Is available for linux-ppc64leother versions,Build Tag,Versions
watson-nlp[all],4.1.0,*,,,NO, ,,NO, ,
alchemy-language,0.0.13,*,,,NO, ,,NO, ,
pynlplib,0.4.1,*,,,NO, ,,NO, ,
pyizumo,1.23.1,*,,,NO, ,,NO, ,
pyizumopos,1.23.1,*,,,NO, ,,NO, ,
pyrbras,0.5.1,*,,,NO, ,,NO, ,
topicmodeling,0.1.15,*,,,NO, ,,NO, ,
watson-core,2.1.0,*,,,NO, ,,NO, ,
tribble,0.4.6,*,,,NO, ,,NO, ,
checksumdir,1.2.0,*,Yes,noarch,NO, ,,NO, ,
flashtext,2.7,*,Yes,,NO, ,,NO, ,
importlib-resources,5.12.0,*,Yes,noarch,NO, ,,NO, ,
iniparse,0.5,*,Yes,noarch,NO, ,,NO, ,
jtd-to-proto,0.11.5,*,Yes,noarch,NO, ,,NO, ,
memoized-property,1.0.3,*,Yes,,NO, ,,NO, ,
huggingface-hub,0.13.4,*,Yes,noarch,NO, ,,NO, ,
pot,0.8.2,*,0.9.0,noarch,NO, ,,NO, ,
progressbar,2.5,*,Yes,,NO, ,,NO, ,
py-cpuinfo,9.0.0,*,Yes,noarch,NO, ,,NO, ,
pyahocorasick,1.4.4,*,,,NO, ,,NO, ,
pyjnius,1.4.2,*,,,NO, ,,NO, ,
regex,2023.3.23,*,,,Yes,py310h82c586f_0|py311h57b9580_0|py38h0c7bae7_0|py38hd7c3010_0|py39h38a9e30_0|py39h6b8ccca_0,conda-forge|conda-forge|conda-forge|conda-forge|conda-forge|conda-forge,NO, ,
sacremoses,0.0.53,*,Yes,,NO, ,,NO, ,
sib-clustering,0.2.0,*,,,NO, ,,NO, ,
tensorflow-addons,0.19.0 ,*,,,Yes,,,Yes,,
text-extensions-for-pandas,0.2.0,*,Yes,noarch,NO, ,,NO, ,
transformers,4.17.0,*,Yes,noarch,NO, ,,NO, ,
